timestamp,open,high,low,close
1613952000,2211.2,2219.63,2197.49,2197.49
1613347200,2301.16,2319.99,2129,2313.1799999999994
1613347140,2301.19,undefined,undefined,undefined
1613260800,2322.44,2360,2282.31,2304.17
1613174400,2339.3,2375,2258.58,2321.66
1613088000,2279.01,2370,2217.49,2350.23
1613001600,2216.23,2298.21,2176.41,2267.78
1613001540,2223.13,undefined,undefined,undefined
1612915200,2249.85,2310.01,2141,2210.68
1612915140,2247.08,undefined,undefined,undefined
1612828800,2225,2300,2154.41,2246.54
1612828740,2219.99,undefined,undefined,undefined
1612742400,2072.01,2249.89,2002.8399999999997,2220
1612742340,2072.01,undefined,undefined,undefined
1612656000,2148.7,2172.84,1919.13,2072.01
1612655940,2151.41,undefined,undefined,undefined
1612569600,2198,2222.22,2100.18,2151.41
1612569540,2200.01,undefined,undefined,undefined
1612483200,2051.45,2250,2033.3499999999997,2196.85
1612483140,2041.23,undefined,undefined,undefined
1612396800,2126.59,2168.14,2004.2699999999998,2041.23
1612310400,1944.35,2120,1930.04,2120
1612224000,1774.5200000000002,1977.0600000000002,1744.32,1938.07
1612137600,1661.7199999999998,1765.0000000000002,1630.02,1759.52
1612137540,1692.0699999999997,undefined,undefined,undefined
1612051200,1763.83,1769.71,1652.58,1687.52
1611964800,1780.57,1798.81,1707.47,1772.9
1611878400,1719.59,1836,1654.06,1779.79
1611878340,1711.07,undefined,undefined,undefined
1611792000,1605.12,1745,1566,1714.31
1611791940,1597.95,undefined,undefined,undefined
1611705600,1727.2199999999998,1730.56,1551.12,1597.95
1611705540,1727.22,undefined,undefined,undefined
1611619200,1683.18,1766.07,1585.02,1727.22
1611619140,1686.85,undefined,undefined,undefined
1611532800,1764.27,1867.99,1659.9999999999998,1686.85
1611532740,1773.7,undefined,undefined,undefined
1611446400,1553.9,1773.9,1553.9,1773.7
1611446340,1566.53,undefined,undefined,undefined
1611360000,1558.33,1615,1530,1566.53
1611359940,1572.85,undefined,undefined,undefined
1611273600,1390,1625,1306.79,1572.85
1611273540,1418.91,undefined,undefined,undefined
1611187200,1749.95,1755.15,1377.68,1425.09
1611187140,1742.38,undefined,undefined,undefined
1611100800,1718.38,1751.31,1580,1751.31
1611100740,1742.2199999999998,undefined,undefined,undefined
1611014400,1607.67,1825,1600.0000000000002,1745.2
1610928000,1586.64,1615,1522.54,1605.42
1610927940,1582.2000000000003,undefined,undefined,undefined
1610841600,1541.8600000000001,1615.0000000000002,1500,1583.78
1610841540,1571.02,undefined,undefined,undefined
1610755200,1510,1649.98,1484.99,1579.42
1610755140,1487.69,undefined,undefined,undefined
1610668800,1559.9999999999998,1582.56,1365.47,1487.69
1610668740,1550,undefined,undefined,undefined
1610582400,1457.27,1585,1394.85,1538.27
1610582340,1449.77,undefined,undefined,undefined
1610496000,1329.52,1472.69,1267.1,1443.54
1610495940,1328.29,undefined,undefined,undefined
1610409600,1382.2,1477.98,1294.46,1328.29
1610409540,1398.95,undefined,undefined,undefined
1610323200,1541,1563.16,1129.63,1398.8
1610236800,1646.22,1685.7,1401,1579.76
1610150400,1557.81,1611.34,1484.78,1611.34
1610150340,1533.67,undefined,undefined,undefined
1610064000,1556.32,1580,1350.9,1542
1610063940,1555.76,undefined,undefined,undefined
1609977600,1415,1609.99,1350.13,1555.76
1609977540,1410.99,undefined,undefined,undefined
1609891200,1326.09,1455,1250.01,1410.99
1609804800,1278,1350,1167.44,1350
1609718400,1198,1288,996.9999999999999,1257.42
1609632000,958.1,1200,915,1194.86
1609631940,931.7,undefined,undefined,undefined
1609545600,908.87,968,897,931.7
1609545540,912.83,undefined,undefined,undefined
1609459200,928.76,943.84,895,912.83
1609459140,928.76,undefined,undefined,undefined
1609372800,965,965,914,928.76
1609372740,960.44,undefined,undefined,undefined
1609286400,945.8,967.61,916.54,960.44
1609286340,942.2699999999999,undefined,undefined,undefined
1609200000,944,950,885.85,938.18
1609199940,943.13,undefined,undefined,undefined
1609113600,871.32,962,871.32,943.13
1609113480,870.97,undefined,undefined,undefined
1609027200,825.39,914.7,807.95,879.28
1609027140,821.84,undefined,undefined,undefined
1608940800,812.07,844.76,797.95,820.31
1608940740,812.07,undefined,undefined,undefined
1608854400,790.8,814.7600000000001,782.92,812.07
1608854340,790.8,undefined,undefined,undefined
1608768000,745.37,793.62,733.92,791.2
1608767940,754.05,undefined,undefined,undefined
1608681600,815.7800000000001,824.41,727.77,754.05
1608595200,784.27,821.94,760,821.94
1608508800,802.9300000000001,821.74,767,785.15
1608422400,838.61,838.61,790.03,800.01
1608336000,838.65,849.22,819.57,838.61
1608249600,814.1599999999999,842.91,807.6500000000001,841.84
1608163200,825,863.0000000000001,800.01,822.82
1608076800,748.4,819.73,740.26,819.73
1608076740,748.4,undefined,undefined,undefined
1607990400,751.72,760.0000000000001,740.18,748.4
1607904000,756.52,759.69,738.1,750.85
1607817600,730.69,761.86,723.23,756.52
1607731200,696.77,734.99,696.77,730.69
1607644800,718.82,718.82,686.61,700.32
1607558400,740,741.08,700.09,718.82
1607472000,716.7300000000001,744.12,686.79,740
1607385600,760.82,763.7500000000001,710,716.7300000000001
1607385540,758,undefined,undefined,undefined
1607299200,773.49,775.25,750.08,758
1607212800,764.64,782.53,750,773.49
1607126400,731.28,769.87,724,764.64
1607040000,794.31,801.49,730,730
1606953600,777.88,804.93,761.6,798.29
1606867200,765.84,784.26,752.4699999999999,784.26
1606780800,801,821.9999999999999,743.8100000000001,765.84
1606694400,758.8999999999999,800,747.76,799
1606608000,703.31,754.6799999999998,698,752.16
1606521600,677.16,719.99,668.37,708.93
1606435200,677.86,696.61,648.02,677.16
1606348800,742.78,756.38,620.96,677.86
1606262400,789.9999999999999,790,726.49,746.01
1606176000,796.5300000000001,824.97,772.27,787.54
1606089600,733.99,799.97,720.01,796.5300000000001
1606003200,723.98,760.18,672.05,733.99
1605916800,657.96,723.98,657.96,723.98
1605916740,667.59,undefined,undefined,undefined
1605830400,622.93,670,620.78,667.59
1605744000,631.18,634.99,611.21,622.93
1605657600,634.38,649.88,598,631.18
1605571200,609.07,639.35,607.66,636.8
1605484800,595.56,613.2,590.15,609.07
1605398400,615.04,615.44,586,595.56
1605312000,630,632.72,595.08,615.04
1605225600,612.49,633.09,610,629.99
1605139200,608.52,617.05,595.05,612.49
1605052800,591.29,626.75,590.55,608.52
1604966400,580.5,593.46,569.42,591.29
1604880000,592.56,598.23,566.26,580.5
1604793600,569.85,602.52,567.32,592.56
1604707200,599.05,613.99,555.09,569.85
1604620800,546.67,600,546.67,599.05
1604534400,530.66,550,523.16,546.67
